chr,source,feature,start,stop,score,strand,frame,identifier
chrI,Yassour_2010,antisense_transcript,31503,34422,13.7,-,.,Unit2
chrI,Yassour_2010,antisense_transcript,68786,69639,4.81,+,.,Unit3
chrI,Yassour_2010,antisense_transcript,71755,73235,4.29,-,.,Unit4
chrII,Yassour_2010,antisense_transcript,24802,28686,32.64,-,.,Unit5
chrII,Yassour_2010,antisense_transcript,46601,47271,5.59,+,.,Unit6
chrII,Yassour_2010,antisense_transcript,115473,117396,3.65,+,.,Unit7
chrII,Yassour_2010,antisense_transcript,126173,127421,8.85,-,.,Unit8
chrII,Yassour_2010,antisense_transcript,181494,182297,2.22,+,.,Unit9
chrII,Yassour_2010,antisense_transcript,241669,242622,2.31,+,.,Unit10
chrII,Yassour_2010,antisense_transcript,276737,280676,5.93,+,.,Unit11
chrII,Yassour_2010,antisense_transcript,371474,373007,7.63,+,.,Unit12
chrII,Yassour_2010,antisense_transcript,375957,378780,2.69,+,.,Unit13
chrII,Yassour_2010,antisense_transcript,380491,381308,2.98,-,.,Unit14
chrII,Yassour_2010,antisense_transcript,427128,427518,1.83,+,.,Unit15
chrII,Yassour_2010,antisense_transcript,427731,429229,2.74,+,.,Unit16
chrII,Yassour_2010,antisense_transcript,429555,431814,3.13,+,.,Unit17
chrII,Yassour_2010,antisense_transcript,453584,454695,5.24,+,.,Unit18
chrII,Yassour_2010,antisense_transcript,474323,477063,5.55,+,.,Unit19
chrII,Yassour_2010,antisense_transcript,581717,582284,1.89,+,.,Unit20
chrII,Yassour_2010,antisense_transcript,595084,595792,1.34,+,.,Unit21
chrII,Yassour_2010,antisense_transcript,602551,603449,1.98,-,.,Unit22
chrII,Yassour_2010,antisense_transcript,614459,615085,4.08,+,.,Unit23
chrII,Yassour_2010,antisense_transcript,624423,625017,1.1,+,.,Unit24
chrII,Yassour_2010,antisense_transcript,773893,774424,3.92,-,.,Unit25
chrII,Yassour_2010,antisense_transcript,789126,792084,7.75,-,.,Unit26
chrIII,Yassour_2010,antisense_transcript,16969,18581,4.83,-,.,Unit27
chrIII,Yassour_2010,antisense_transcript,39667,40861,9.95,+,.,Unit28
chrIII,Yassour_2010,antisense_transcript,41443,41751,2.7,-,.,Unit29
chrIII,Yassour_2010,antisense_transcript,104410,105548,2.66,+,.,Unit30
chrIII,Yassour_2010,antisense_transcript,110757,111741,2.96,+,.,Unit31
chrIII,Yassour_2010,antisense_transcript,113365,114100,4.77,-,.,Unit32
chrIII,Yassour_2010,antisense_transcript,125430,126858,3.2,+,.,Unit33
chrIII,Yassour_2010,antisense_transcript,132271,133755,2.4,+,.,Unit34
chrIII,Yassour_2010,antisense_transcript,137719,138998,3.2,-,.,Unit35
chrIII,Yassour_2010,antisense_transcript,156098,157115,3.97,+,.,Unit36
chrIII,Yassour_2010,antisense_transcript,208072,209853,20.71,+,.,Unit37
chrIII,Yassour_2010,antisense_transcript,213944,214835,4.93,-,.,Unit38
chrIII,Yassour_2010,antisense_transcript,223520,224340,7.68,+,.,Unit39
chrIII,Yassour_2010,antisense_transcript,224312,224732,4.38,-,.,Unit40
chrIII,Yassour_2010,antisense_transcript,309031,310027,6.74,-,.,Unit41
chrIV,Yassour_2010,antisense_transcript,125595,126450,6.95,-,.,Unit42
chrIV,Yassour_2010,antisense_transcript,134725,135533,12.79,-,.,Unit43
chrIV,Yassour_2010,antisense_transcript,213316,215760,4.93,-,.,Unit44
chrIV,Yassour_2010,antisense_transcript,216526,217175,4.58,-,.,Unit45
